target,rmse,std,rmse/std,r2,mase,da
SP.DYN.LE00.IN,1.4197168387177412,5.575594450013033,0.24472336664427302,0.9014295977651303,0.24912891609599158,0.7674418604651163
SP.URB.TOTL.IN.ZS,3.5818116680372802,13.69442901400052,0.2642348443220741,0.9195154328655157,0.21266121129137927,0.813953488372093
NV.AGR.TOTL.ZS,0.7648129820946472,4.162336384365831,0.17952783202940892,0.965015170775376,0.19283697237978187,0.7162790697674419
EG.USE.PCAP.KG.OE,439.918279862291,1992.9265004745928,0.21625945091793491,0.9327036232917261,0.14372558343336755,0.6325581395348838
FS.AST.PRVT.GD.ZS,14.22089580867809,48.851664960913936,0.29125345344109826,0.9119712934851748,0.2867951721791223,0.7162790697674419
NE.IMP.GNFS.ZS,2.041111450122327,8.85915868576389,0.2278361615484128,0.9468086345485253,0.2535476728104777,0.8186046511627907
NY.GDP.MKTP.CD,775215861665.4047,4879431890868.638,0.16095004600823953,0.9553941482570085,0.14005721271169774,0.7906976744186045
NE.EXP.GNFS.ZS,2.697227961947138,10.619038574262866,0.2512355178322895,0.9317242090559233,0.25247246883622954,0.8372093023255814
NY.GDP.MKTP.KD.ZG,3.313421740178633,3.4133029243895465,0.9862569852824501,-0.00038487684947059454,0.7801346981360098,0.6651162790697676
EN.ATM.GHGT.KT.CE,412080.6499062243,2565961.635048749,0.15918338140608385,0.9618352242770893,0.10350575863836035,0.7302325581395349
